timeStamp,Price,Open,High,Low,Vol.,Change %
31-Dec-20,"6,774.22","6,758.28","6,778.87","6,748.01",187.07M,0.39%
30-Dec-20,"6,748.01","6,720.02","6,749.12","6,704.89",146.28M,0.64%
28-Dec-20,"6,704.89","6,701.92","6,721.70","6,685.64",59.94M,0.29%
24-Dec-20,"6,685.64","6,641.71","6,698.57","6,629.02",67.82M,0.85%
23-Dec-20,"6,629.02","6,640.16","6,644.15","6,616.40",94.03M,-0.09%
22-Dec-20,"6,634.92","6,632.24","6,648.72","6,622.71",939.24M,0.18%
21-Dec-20,"6,622.71","6,624.74","6,646.08","6,616.95",94.14M,0.09%
18-Dec-20,"6,616.95","6,629.00","6,645.40","6,610.78",116.52M,-0.11%
17-Dec-20,"6,624.15","6,671.98","6,687.80","6,624.15",610.33M,-0.47%
16-Dec-20,"6,655.67","6,645.13","6,666.61","6,631.89",410.41M,0.36%
15-Dec-20,"6,631.89","6,673.47","6,685.55","6,625.35",221.31M,-0.37%
14-Dec-20,"6,656.64","6,632.70","6,679.66","6,614.56",168.24M,0.64%
11-Dec-20,"6,614.56","6,622.01","6,624.23","6,580.52",305.87M,0.08%
10-Dec-20,"6,609.39","6,630.22","6,635.74","6,590.25",476.73M,0.07%
9-Dec-20,"6,605.09","6,592.08","6,633.07","6,540.76",599.59M,0.63%
8-Dec-20,"6,564.00","6,489.54","6,582.15","6,473.76",326.19M,1.39%
7-Dec-20,"6,473.76","6,410.22","6,484.88","6,397.56",213.47M,1.19%
4-Dec-20,"6,397.56","6,362.01","6,409.46","6,357.46",236.14M,0.59%
3-Dec-20,"6,359.99","6,356.63","6,366.64","6,332.08",146.70M,0.22%
2-Dec-20,"6,345.84","6,342.43","6,370.28","6,317.46",111.54M,0.45%
1-Dec-20,"6,317.46","6,256.58","6,333.25","6,243.76",111.90M,1.18%
30-Nov-20,"6,243.76","6,196.25","6,249.46","6,180.86",82.78M,1.02%
27-Nov-20,"6,180.86","6,152.60","6,192.80","6,148.12",69.08M,0.53%
26-Nov-20,"6,148.12","6,152.33","6,168.23","6,141.79",69.08M,0.10%
25-Nov-20,"6,141.79","6,100.07","6,145.74","6,087.66",88.36M,0.89%
24-Nov-20,"6,087.66","6,076.90","6,100.41","6,072.07",46.98M,0.26%
23-Nov-20,"6,072.07","6,095.07","6,103.52","6,067.62",39.04M,-0.21%
20-Nov-20,"6,085.00","6,074.00","6,107.23","6,060.89",51.13M,0.40%
19-Nov-20,"6,060.89","6,111.41","6,114.35","6,060.89",117.82M,-0.77%
18-Nov-20,"6,108.22","6,135.92","6,143.34","6,085.86",117.82M,-0.01%
17-Nov-20,"6,108.93","6,085.30","6,114.68","6,076.92",89.73M,0.53%
16-Nov-20,"6,076.92","6,098.01","6,111.99","6,065.18",70.92M,-0.09%
13-Nov-20,"6,082.42","6,092.85","6,104.06","6,075.12",70.92M,-0.14%
12-Nov-20,"6,090.97","6,108.47","6,113.44","6,053.55",90.47M,-0.11%
11-Nov-20,"6,097.93","6,115.72","6,128.57","6,031.90",90.17M,0.03%
10-Nov-20,"6,095.89","6,147.18","6,169.25","6,082.30",129.76M,-0.30%
9-Nov-20,"6,114.50","6,141.03","6,154.81","6,074.87",225.15M,0.57%
6-Nov-20,"6,080.09","6,038.97","6,094.03","6,004.11",215.70M,1.27%
5-Nov-20,"6,004.11","5,937.47","6,017.96","5,905.91",217.70M,1.66%
4-Nov-20,"5,905.91","5,863.45","5,925.19","5,843.27",242.14M,1.07%
3-Nov-20,"5,843.27","5,733.42","5,857.51","5,713.58",168.98M,2.27%
2-Nov-20,"5,713.58","5,707.59","5,748.44","5,707.59",70.94M,-0.23%
29-Oct-20,"5,726.59","5,613.93","5,747.65","5,600.20",65.11M,2.26%
28-Oct-20,"5,600.20","5,689.26","5,724.52","5,572.82",64.63M,-1.41%
27-Oct-20,"5,680.28","5,673.92","5,707.66","5,669.33",55.27M,0.19%
26-Oct-20,"5,669.33","5,671.12","5,768.94","5,637.94",70.61M,-1.73%
